"code","iso","country","FTD.ind.1995","FTD.ind.1996","FTD.ind.1997","FTD.ind.1998","FTD.ind.1999","FTD.ind.2000","FTD.ind.2001","FTD.ind.2002","FTD.ind.2003","FTD.ind.2004","FTD.ind.2005","FTD.ind.2006","FTD.ind.2007","FTD.ind.2008","FTD.ind.2009","FTD.ind.2010","FTD.ind.2011","FTD.ind.2012","FTD.ind.2013","FTD.ind.2014","FTD.ind.2015","FTD.ind.2016","FTD.ind.2017","FTD.ind.2018","FTD.ind.2019","FTD.ind.2020","FTD.ind.2021","FTD.ind.2022"
214,"DOM","Dominican Republic",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
218,"ECU","Ecuador",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
818,"EGY","Egypt",5.10168652514531,4.69372419580681,4.89471097501198,4.76378669534843,4.78639329919075,4.20173980778753,4.20909713880133,4.17299365284153,3.81669482742767,3.834374495349,3.89113436450181,3.88959892799566,5.22797428926918,4.94761222526704,4.82129963330718,4.66776243603769,4.17492144709894,3.79417858937657,3.83355733858744,3.89954493607512,3.89134314942062,3.93027436395818,4.04456502890535,5.18265026591422,5.18265026591422,5.18265026591422,5.18265026591422,5.18265026591422
222,"SLV","El Salvador",31.4386571448319,37.4057768218666,33.9239617680687,30.4421467142707,26.9603316604728,23.4785166066748,19.9967015528769,16.5130905149794,9.97442355161141,11.3954882343569,7.45717419301297,6.45073919527864,7.62424317510209,14.0848397140477,15.2472553178521,14.0646152585071,12.8819751991622,11.6993351398173,10.5166950804723,9.33405502112733,8.15141496178238,6.31841431829992,6.54629762453696,7.48600796048549,7.48600796048549,7.48600796048549,7.48600796048549,7.48600796048549
226,"GNQ","Equatorial Guinea",8.83540897906465,8.90377726681734,8.90668665702958,9.02471817686127,9.14209163485009,9.2518390583227,9.35364813208382,9.44706271681727,9.53153079764581,9.84424014372736,10.1622337533475,10.4858325052546,7.06365835270367,8.19890401832455,9.46907248230156,9.56755100194825,8.876190469566,14.2636023155191,9.90788692633666,8.77248579559554,12.174721355483,11.0217942862727,8.78776463039654,7.5850402571882,7.5850402571882,7.5850402571882,7.5850402571882,7.5850402571882
232,"ERI","Eritrea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
233,"EST","Estonia",27.2648204115731,30.103512404115,33.0529648475401,33.6480044924241,33.7080218538655,19.220778561408,21.6825107482326,23.2258260225828,19.0004717116088,19.9031172218137,20.9821142932553,19.3258921864509,23.0520584897063,22.1815146190825,20.4985237235335,19.136887658913,19.4546372938398,21.1156207661339,14.0749694847863,14.3830338793587,14.1372796697097,14.9048400344391,12.9078329810684,17.8582898082656,17.8582898082656,17.8582898082656,17.8582898082656,17.8582898082656
748,"SWZ","Eswatini",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
231,"ETH","Ethiopia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",0.140125824795831,0.0861034784287966,0.199027539458541,0.324605039170407,0.728333591261404,0.297151687694097,0.349674317581076,0.26230671735145,0.192206216340551,0.254525432816706,0.193635054176312,0.298918961926404,0.237522471311408,0.209227839980429,0.181312490952678,0.105231356137395,0.50600060904263,0.323204899511282,0.820991535777608,0.417901116855703,1.877486997177,0.325850705055615,0.140402272315072,0.431506180452757,0.431506180452757,0.431506180452757,0.431506180452757,0.431506180452757
242,"FJI","Fiji",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
246,"FIN","Finland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
250,"FRA","France",7.5975338367287,7.61335852744288,7.24868258080308,7.49695737000913,7.54515208402624,6.98426023612777,6.80485947432375,7.14541140450442,7.5908849862969,7.82278321122072,7.74552748918344,7.50132940817498,7.30174596996126,7.38453754451911,7.89507644396562,7.51533536491256,6.895079793281,8.77364098339997,8.59539614173381,8.66862688384668,10.6893811164052,10.4832570077536,10.3934772240261,11.3402794373571,11.3402794373571,11.3402794373571,11.3402794373571,11.3402794373571
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",5.12567775186834,5.57901811488971,6.9468551846646,5.89079570501107,6.06083188583989,5.33293191254464,6.54614763006769,5.67191515235469,6.24564553736737,6.01004671116092,6.3597035978672,5.34476308670705,4.98368674864636,4.37148276305702,5.96090294492103,6.33392639264446,6.67722094040677,6.24129461916198,5.84884124801152,5.47095476452037,3.45476650024769,3.34263515951814,4.07186195800988,5.17031716134947,5.17031716134947,5.17031716134947,5.17031716134947,5.17031716134947
270,"GMB","Gambia",4.67320769098654,6.96056899103817,8.50169312645882,10.3258819803659,11.9797344503508,5.30883558065923,8.3242183993937,8.78080509892338,6.08753159320148,6.86909392977297,10.6550191390088,16.9211826094236,20.123683795127,20.4911489489442,31.0010887396433,27.9060840556007,26.4848302561687,22.5419873536105,21.9769362645157,26.2452482536768,24.4983251058794,22.751401958082,21.0044788102847,19.2575556624872,19.2575556624872,19.2575556624872,19.2575556624872,19.2575556624872
